,mibfc,Month,Total Loaned,Months' Income Borrowed,Number of Loans
162,2,2011-10,6000,2 to 3,1
163,0,2012-5,2500,0 to 1,1
164,1,2012-12,7000,1 to 2,1
165,1,2012-6,4000,1 to 2,1
166,1,2012-5,4000,1 to 2,1
167,1,2011-6,7500,1 to 2,1
168,2,2012-10,2000,2 to 3,1
169,3,2012-7,15000,3 to 4,1
170,4,2011-2,7500,4+,1
171,1,2014-1,9000,1 to 2,1
172,1,2012-11,7500,1 to 2,1
173,3,2014-2,20000,3 to 4,1
174,0,2012-8,3000,0 to 1,1
175,0,2012-8,4000,0 to 1,1
176,1,2012-1,7000,1 to 2,1
177,1,2011-8,4500,1 to 2,1
178,1,2012-4,7000,1 to 2,1
179,1,2013-5,5000,1 to 2,1
180,2,2011-9,5000,2 to 3,1
181,1,2011-11,10000,1 to 2,1
182,1,2014-2,10000,1 to 2,1
183,0,2011-7,4000,0 to 1,1
184,3,2014-2,15000,3 to 4,1
185,0,2012-8,4000,0 to 1,1
186,2,2013-10,20000,2 to 3,1
187,2,2013-10,8000,2 to 3,1
188,0,2012-2,2000,0 to 1,1
189,1,2014-1,10000,1 to 2,1
190,0,2011-5,4200,0 to 1,1
191,0,2012-6,2000,0 to 1,1
192,0,2010-9,1500,0 to 1,1
193,2,2012-9,4000,2 to 3,1
194,2,2011-9,15000,2 to 3,1
195,2,2014-2,13000,2 to 3,1
196,1,2014-1,4000,1 to 2,1
197,0,2012-8,4000,0 to 1,1
198,3,2013-5,15000,3 to 4,1
199,3,2014-2,10000,3 to 4,1
200,0,2010-11,7500,0 to 1,1
201,1,2014-2,10000,1 to 2,1
202,1,2012-6,16500,1 to 2,1
203,0,2013-1,7500,0 to 1,1
204,1,2014-2,11000,1 to 2,1
205,0,2012-9,4000,0 to 1,1
206,2,2013-12,4000,2 to 3,1
207,1,2013-9,8000,1 to 2,1
208,0,2013-2,12000,0 to 1,1
209,1,2013-8,7000,1 to 2,1
210,0,2011-2,2000,0 to 1,1
211,1,2013-5,10000,1 to 2,1
212,3,2013-11,15000,3 to 4,1
213,0,2012-6,3500,0 to 1,1
214,1,2012-2,15000,1 to 2,1
215,0,2011-12,2000,0 to 1,1
216,2,2012-7,10000,2 to 3,1
217,3,2013-9,20000,3 to 4,1
218,0,2012-2,4500,0 to 1,1
219,3,2013-4,10000,3 to 4,1
220,0,2011-6,3000,0 to 1,1
221,1,2012-2,4000,1 to 2,1
222,1,2013-10,9000,1 to 2,1
223,0,2013-8,3000,0 to 1,1
224,2,2013-12,25000,2 to 3,1
225,2,2014-1,10000,2 to 3,1
226,1,2013-8,19000,1 to 2,1
227,1,2013-5,4000,1 to 2,1
228,1,2011-5,7500,1 to 2,1
229,2,2013-10,7000,2 to 3,1
230,0,2012-4,4000,0 to 1,1
231,3,2012-7,9000,3 to 4,1
232,2,2014-1,7000,2 to 3,1
233,0,2012-5,3000,0 to 1,1
234,3,2013-8,10000,3 to 4,1
235,3,2013-9,15000,3 to 4,1
236,3,2012-9,11000,3 to 4,1
237,1,2013-8,15000,1 to 2,1
238,3,2012-7,15500,3 to 4,1
239,0,2012-3,4000,0 to 1,1
240,0,2012-7,6950,0 to 1,1
241,2,2014-2,15000,2 to 3,1
242,1,2010-8,7500,1 to 2,1
243,0,2013-8,4000,0 to 1,1
244,0,2012-9,2000,0 to 1,1
245,0,2012-12,7000,0 to 1,1
246,0,2013-6,9000,0 to 1,1
247,1,2010-10,10000,1 to 2,1
248,4,2012-5,15000,4+,1
249,0,2013-3,3500,0 to 1,1
250,0,2011-3,7500,0 to 1,1
251,4,2012-6,10000,4+,1
252,0,2013-10,3000,0 to 1,1
253,2,2014-1,25000,2 to 3,1
254,0,2013-6,3500,0 to 1,1
255,2,2011-5,11890,2 to 3,1
256,0,2012-2,3000,0 to 1,1
257,0,2012-1,4000,0 to 1,1
258,1,2013-7,7000,1 to 2,1
259,2,2011-4,7500,2 to 3,1
260,0,2013-10,5000,0 to 1,1
261,3,2013-10,25000,3 to 4,1
262,1,2013-12,20000,1 to 2,1
263,3,2013-12,15000,3 to 4,1
264,0,2012-9,4000,0 to 1,1
265,1,2013-12,5500,1 to 2,1
266,2,2011-11,7000,2 to 3,1
267,2,2013-10,10000,2 to 3,1
268,0,2011-3,4500,0 to 1,1
269,1,2013-12,4000,1 to 2,1
270,2,2012-9,9000,2 to 3,1
271,1,2013-11,7000,1 to 2,1
272,4,2011-8,13500,4+,1
273,1,2013-7,10000,1 to 2,1
274,3,2013-8,15000,3 to 4,1
275,3,2013-3,16000,3 to 4,1
276,0,2013-5,10000,0 to 1,1
277,3,2014-2,10000,3 to 4,1
278,1,2013-11,3600,1 to 2,1
279,4,2012-9,10000,4+,1
280,3,2014-2,15000,3 to 4,1
281,0,2011-12,2500,0 to 1,1
282,1,2013-5,18000,1 to 2,1
283,3,2013-12,20000,3 to 4,1
284,2,2013-9,21000,2 to 3,1
285,2,2013-3,15000,2 to 3,1
286,2,2013-10,15000,2 to 3,1
287,2,2011-2,14584,2 to 3,1
288,3,2014-1,25000,3 to 4,1
289,0,2013-2,4000,0 to 1,1
290,0,2013-3,3000,0 to 1,1
291,1,2013-10,19000,1 to 2,1
292,1,2013-5,10000,1 to 2,1
293,2,2013-1,13000,2 to 3,1
294,0,2012-3,4000,0 to 1,1
295,1,2014-1,12000,1 to 2,1
296,2,2011-7,4500,2 to 3,1
297,2,2013-11,13000,2 to 3,1
298,2,2013-9,6500,2 to 3,1
299,0,2013-8,2500,0 to 1,1
300,0,2013-7,8000,0 to 1,1
301,0,2013-7,5000,0 to 1,1
302,0,2013-2,5000,0 to 1,1
303,0,2013-2,4200,0 to 1,1
304,2,2012-7,2000,2 to 3,1
305,0,2010-11,3000,0 to 1,1
306,3,2013-12,15000,3 to 4,1
307,1,2011-10,10000,1 to 2,1
308,0,2010-11,1500,0 to 1,1
309,2,2014-1,8500,2 to 3,1
310,1,2013-10,2000,1 to 2,1
311,0,2013-6,3500,0 to 1,1
312,1,2011-5,6290,1 to 2,1
313,0,2012-7,5000,0 to 1,1
314,3,2013-12,15000,3 to 4,1
315,1,2013-7,13000,1 to 2,1
316,0,2013-5,4000,0 to 1,1
317,3,2014-2,18000,3 to 4,1
318,1,2011-10,4000,1 to 2,1
319,1,2013-11,15000,1 to 2,1
320,2,2011-12,10000,2 to 3,1
321,1,2013-12,20000,1 to 2,1
322,1,2013-8,12000,1 to 2,1
323,2,2011-3,7500,2 to 3,1
324,4,2014-2,4000,4+,1
325,2,2013-12,10000,2 to 3,1
326,0,2013-4,3200,0 to 1,1
327,1,2014-2,14400,1 to 2,1
328,0,2011-12,7500,0 to 1,1
329,1,2012-8,4000,1 to 2,1
330,0,2011-9,5000,0 to 1,1
331,1,2012-5,7000,1 to 2,1
332,0,2012-2,4000,0 to 1,1
333,1,2011-1,7500,1 to 2,1
334,1,2013-12,6200,1 to 2,1
335,0,2013-1,2100,0 to 1,1
336,0,2013-11,2000,0 to 1,1
337,3,2013-9,3000,3 to 4,1
338,1,2013-11,8000,1 to 2,1
339,0,2012-2,4000,0 to 1,1
340,0,2012-12,4000,0 to 1,1
341,2,2013-2,10850,2 to 3,1
342,4,2011-9,25000,4+,1
343,1,2012-7,13000,1 to 2,1
344,2,2013-7,20000,2 to 3,1
345,1,2013-12,15000,1 to 2,1
346,3,2013-12,10000,3 to 4,1
347,3,2011-12,15000,3 to 4,1
348,4,2012-6,23500,4+,1
349,1,2011-8,7000,1 to 2,1
350,2,2014-1,23547,2 to 3,1
351,0,2011-1,3500,0 to 1,1
352,0,2012-12,4000,0 to 1,1
353,0,2013-2,6000,0 to 1,1
354,1,2013-7,4000,1 to 2,1
355,3,2014-1,15000,3 to 4,1
356,0,2013-3,5000,0 to 1,1
357,0,2012-11,4000,0 to 1,1
358,2,2014-1,15000,2 to 3,1
359,2,2013-11,15000,2 to 3,1
360,0,2012-9,25000,0 to 1,1
361,0,2013-10,4000,0 to 1,1
362,1,2011-12,20500,1 to 2,1
363,3,2013-11,15000,3 to 4,1
364,1,2013-10,14000,1 to 2,1
365,1,2010-12,3500,1 to 2,1
366,1,2013-7,7000,1 to 2,1
367,1,2013-6,4000,1 to 2,1
368,1,2013-8,20000,1 to 2,1
369,2,2012-9,7500,2 to 3,1
370,4,2012-2,2000,4+,1
371,1,2012-8,2500,1 to 2,1
372,3,2013-10,15000,3 to 4,1
373,2,2013-9,10000,2 to 3,1
374,2,2013-12,30000,2 to 3,1
375,2,2014-2,10000,2 to 3,1
376,1,2013-5,35000,1 to 2,1
377,1,2014-1,15000,1 to 2,1
378,1,2013-10,4000,1 to 2,1
379,0,2013-12,10000,0 to 1,1
380,2,2013-11,15000,2 to 3,1
381,1,2013-11,15000,1 to 2,1
382,1,2012-4,15000,1 to 2,1
383,1,2013-10,15000,1 to 2,1
384,2,2013-5,10000,2 to 3,1
385,0,2012-10,6500,0 to 1,1
386,0,2013-5,15000,0 to 1,1
387,2,2013-12,15000,2 to 3,1
388,1,2013-6,10000,1 to 2,1
389,1,2014-1,9000,1 to 2,1
390,3,2013-5,15000,3 to 4,1
391,1,2013-9,6000,1 to 2,1
392,3,2012-7,21000,3 to 4,1
393,0,2012-4,4000,0 to 1,1
394,1,2012-9,15000,1 to 2,1
395,1,2012-7,4000,1 to 2,1
396,1,2011-9,4400,1 to 2,1
397,3,2013-11,20000,3 to 4,1
398,1,2013-12,4000,1 to 2,1
399,4,2012-7,22500,4+,1
400,2,2013-7,10000,2 to 3,1
401,3,2012-1,7000,3 to 4,1
402,2,2013-8,15000,2 to 3,1
403,2,2013-5,25000,2 to 3,1
404,0,2012-4,4000,0 to 1,1
405,1,2013-12,7000,1 to 2,1
406,1,2012-7,3000,1 to 2,1
407,1,2013-6,10000,1 to 2,1
408,0,2012-6,2300,0 to 1,1
409,3,2013-11,35000,3 to 4,1
410,0,2012-2,10000,0 to 1,1
411,3,2013-11,15000,3 to 4,1
412,0,2013-5,8000,0 to 1,1
413,1,2014-1,4000,1 to 2,1
414,0,2012-12,2600,0 to 1,1
415,2,2013-5,15000,2 to 3,1
416,1,2014-1,4000,1 to 2,1
417,0,2013-7,5000,0 to 1,1
418,2,2013-5,15000,2 to 3,1
419,1,2013-11,5000,1 to 2,1
420,2,2013-2,15000,2 to 3,1
421,1,2013-11,10000,1 to 2,1
422,0,2012-5,4000,0 to 1,1
423,1,2010-9,15000,1 to 2,1
424,1,2012-6,10000,1 to 2,1
425,2,2013-10,20000,2 to 3,1
426,0,2011-10,4000,0 to 1,1
427,3,2013-10,20000,3 to 4,1
428,3,2013-6,10000,3 to 4,1
429,1,2011-5,14000,1 to 2,1
430,0,2013-12,4000,0 to 1,1
431,1,2012-2,6000,1 to 2,1
432,0,2012-5,2000,0 to 1,1
433,4,2012-8,17500,4+,1
434,3,2013-12,10000,3 to 4,1
435,3,2013-11,20000,3 to 4,1
436,0,2013-11,4000,0 to 1,1
437,1,2014-2,9000,1 to 2,1
438,3,2013-9,25000,3 to 4,1
439,3,2013-5,15000,3 to 4,1
440,2,2013-12,14000,2 to 3,1
441,1,2013-9,4000,1 to 2,1
442,2,2012-6,6000,2 to 3,1
443,1,2013-9,7000,1 to 2,1
444,0,2013-3,4000,0 to 1,1
445,0,2012-4,5000,0 to 1,1
446,2,2013-3,10000,2 to 3,1
447,1,2012-1,4000,1 to 2,1
448,3,2012-10,10000,3 to 4,1
449,1,2013-11,4950,1 to 2,1
450,0,2011-6,10170,0 to 1,1
451,2,2013-8,11000,2 to 3,1
452,1,2013-5,11500,1 to 2,1
453,3,2013-11,15000,3 to 4,1
454,0,2011-11,3000,0 to 1,1
455,1,2013-12,15000,1 to 2,1
456,3,2014-1,24000,3 to 4,1
457,2,2013-8,7000,2 to 3,1
458,2,2013-10,15000,2 to 3,1
459,2,2013-11,19000,2 to 3,1
460,0,2013-12,6000,0 to 1,1
461,2,2013-9,15500,2 to 3,1
462,1,2013-8,10000,1 to 2,1
463,2,2012-7,8500,2 to 3,1
464,2,2012-10,10000,2 to 3,1
465,1,2014-1,5000,1 to 2,1
466,3,2014-1,23000,3 to 4,1
467,0,2010-12,2500,0 to 1,1
468,3,2013-7,10000,3 to 4,1
469,1,2011-12,5000,1 to 2,1
470,2,2013-11,26000,2 to 3,1
471,2,2013-2,10000,2 to 3,1
472,2,2014-2,10000,2 to 3,1
473,1,2012-8,3000,1 to 2,1
474,2,2012-9,15000,2 to 3,1
475,2,2013-9,10000,2 to 3,1
476,3,2013-6,16000,3 to 4,1
477,1,2013-9,12000,1 to 2,1
478,1,2013-4,4000,1 to 2,1
479,1,2012-7,9500,1 to 2,1
480,0,2011-6,2000,0 to 1,1
481,1,2013-12,5110,1 to 2,1
482,1,2013-12,13000,1 to 2,1
483,0,2013-6,3000,0 to 1,1
484,2,2012-6,7000,2 to 3,1
485,0,2013-12,4000,0 to 1,1
486,0,2013-6,3000,0 to 1,1
487,1,2011-12,6000,1 to 2,1
488,2,2013-8,25000,2 to 3,1
489,1,2013-7,6000,1 to 2,1
490,1,2012-2,5000,1 to 2,1
491,3,2013-8,10000,3 to 4,1
492,1,2012-6,15000,1 to 2,1
493,2,2012-9,20000,2 to 3,1
494,1,2012-5,2500,1 to 2,1
495,1,2013-6,20000,1 to 2,1
496,1,2013-12,12000,1 to 2,1
497,3,2013-10,25000,3 to 4,1
498,0,2011-3,2500,0 to 1,1
499,2,2013-11,25000,2 to 3,1
500,4,2010-11,15000,4+,1
501,0,2010-9,10000,0 to 1,1
502,2,2013-11,15000,2 to 3,1
503,1,2012-10,13800,1 to 2,1
504,1,2013-12,2500,1 to 2,1
505,2,2013-12,15000,2 to 3,1
506,2,2011-7,12000,2 to 3,1
507,1,2013-5,4000,1 to 2,1
508,0,2013-9,3000,0 to 1,1
509,2,2013-4,7000,2 to 3,1
510,0,2012-9,6000,0 to 1,1
511,0,2012-9,4000,0 to 1,1
512,2,2013-11,13000,2 to 3,1
513,2,2014-1,10000,2 to 3,1
514,0,2013-6,4000,0 to 1,1
515,2,2013-12,7000,2 to 3,1
516,1,2013-12,17000,1 to 2,1
517,0,2013-2,3100,0 to 1,1
518,3,2013-9,15000,3 to 4,1
519,1,2012-4,12500,1 to 2,1
520,4,2013-1,13000,4+,1
521,0,2012-9,3000,0 to 1,1
522,0,2012-1,4000,0 to 1,1
523,0,2011-10,6000,0 to 1,1
524,1,2014-1,15000,1 to 2,1
525,2,2014-1,10000,2 to 3,1
526,3,2013-5,15000,3 to 4,1
527,1,2012-1,2000,1 to 2,1
528,1,2013-8,4000,1 to 2,1
529,2,2014-1,15000,2 to 3,1
530,1,2014-1,25000,1 to 2,1
531,2,2013-8,15000,2 to 3,1
532,0,2013-1,20000,0 to 1,1
533,0,2013-11,3600,0 to 1,1
534,2,2014-1,10000,2 to 3,1
535,0,2011-5,7500,0 to 1,1
536,4,2013-2,20000,4+,1
537,1,2014-1,10000,1 to 2,1
538,1,2013-12,23695,1 to 2,1
539,1,2013-11,15000,1 to 2,1
540,1,2011-10,7900,1 to 2,1
541,0,2013-7,4000,0 to 1,1
542,1,2014-2,15000,1 to 2,1
543,0,2013-10,4000,0 to 1,1
544,0,2013-9,5000,0 to 1,1
545,1,2012-5,4000,1 to 2,1
546,0,2011-2,5000,0 to 1,1
547,2,2013-9,10000,2 to 3,1
548,1,2012-2,5500,1 to 2,1
549,4,2012-9,14500,4+,1
550,1,2010-10,7500,1 to 2,1
551,3,2013-11,10000,3 to 4,1
552,1,2013-11,13000,1 to 2,1
553,0,2013-10,3000,0 to 1,1
554,0,2014-1,5000,0 to 1,1
555,2,2013-7,10000,2 to 3,1
556,1,2013-11,7400,1 to 2,1
557,3,2014-2,25000,3 to 4,1
558,2,2014-1,15000,2 to 3,1
559,1,2013-12,3500,1 to 2,1
560,0,2011-4,3000,0 to 1,1
561,1,2013-7,10000,1 to 2,1
562,0,2011-7,4500,0 to 1,1
563,1,2012-6,13000,1 to 2,1
564,1,2013-9,7000,1 to 2,1
565,0,2013-8,4000,0 to 1,1
566,1,2012-6,15000,1 to 2,1
567,2,2013-10,8000,2 to 3,1
568,1,2013-11,15000,1 to 2,1
569,0,2012-3,3000,0 to 1,1
570,0,2012-2,4000,0 to 1,1
571,0,2012-6,4000,0 to 1,1
572,1,2014-2,4500,1 to 2,1
573,0,2013-5,3000,0 to 1,1
574,3,2013-11,15000,3 to 4,1
575,1,2014-1,8500,1 to 2,1
576,1,2013-4,18500,1 to 2,1
577,2,2013-1,13000,2 to 3,1
578,3,2013-12,15000,3 to 4,1
579,3,2013-8,10000,3 to 4,1
580,2,2012-7,13000,2 to 3,1
581,0,2013-7,4000,0 to 1,1
582,1,2012-7,4000,1 to 2,1
583,0,2013-1,2000,0 to 1,1
584,1,2013-7,15000,1 to 2,1
585,2,2013-12,15000,2 to 3,1
586,2,2012-9,11500,2 to 3,1
587,2,2013-6,8500,2 to 3,1
588,1,2013-10,4000,1 to 2,1
589,1,2012-2,5000,1 to 2,1
590,0,2013-8,4000,0 to 1,1
591,2,2013-11,15000,2 to 3,1
592,3,2014-2,15000,3 to 4,1
593,1,2012-9,17500,1 to 2,1
594,0,2013-2,4981,0 to 1,1
595,0,2012-8,2000,0 to 1,1
596,1,2012-6,4000,1 to 2,1
597,1,2013-10,4000,1 to 2,1
598,1,2013-11,10000,1 to 2,1
599,2,2013-12,10000,2 to 3,1
600,2,2013-12,10000,2 to 3,1
601,2,2013-12,4000,2 to 3,1
602,3,2013-12,25000,3 to 4,1
603,1,2012-8,2000,1 to 2,1
604,0,2011-1,2500,0 to 1,1
605,1,2014-1,5000,1 to 2,1
606,1,2011-6,6567,1 to 2,1
607,0,2011-4,3000,0 to 1,1
608,1,2012-11,7500,1 to 2,1
609,2,2014-2,13000,2 to 3,1
610,3,2012-4,7000,3 to 4,1
611,1,2013-11,7000,1 to 2,1
612,2,2012-9,9000,2 to 3,1
613,1,2013-5,4000,1 to 2,1
614,3,2013-11,10000,3 to 4,1
615,3,2012-9,11500,3 to 4,1
616,3,2013-9,10000,3 to 4,1
617,2,2013-10,10000,2 to 3,1
618,2,2013-8,30000,2 to 3,1
619,3,2012-2,15000,3 to 4,1
620,0,2013-11,5000,0 to 1,1
621,1,2013-7,12000,1 to 2,1
622,0,2012-5,2000,0 to 1,1
623,0,2011-12,4000,0 to 1,1
624,0,2011-8,10000,0 to 1,1
625,3,2013-9,20000,3 to 4,1
626,1,2011-1,7500,1 to 2,1
627,0,2012-6,4000,0 to 1,1
628,0,2013-11,2000,0 to 1,1
629,0,2012-6,4000,0 to 1,1
630,2,2013-3,15000,2 to 3,1
631,2,2013-5,8000,2 to 3,1
632,2,2013-2,10000,2 to 3,1
633,1,2013-11,10000,1 to 2,1
634,3,2013-12,15000,3 to 4,1
635,1,2012-2,3000,1 to 2,1
636,0,2012-3,2000,0 to 1,1
637,0,2013-8,15000,0 to 1,1
638,1,2011-9,5000,1 to 2,1
639,0,2012-12,4000,0 to 1,1
640,1,2014-2,9000,1 to 2,1
641,1,2010-11,15000,1 to 2,1
642,3,2013-6,20000,3 to 4,1
643,0,2013-12,4000,0 to 1,1
644,0,2012-4,2000,0 to 1,1
645,1,2013-11,5000,1 to 2,1
646,2,2013-12,20000,2 to 3,1
647,0,2012-9,4000,0 to 1,1
648,3,2012-3,15000,3 to 4,1
649,3,2013-12,8500,3 to 4,1
650,1,2011-9,2500,1 to 2,1
651,3,2013-6,10000,3 to 4,1
652,1,2013-10,4000,1 to 2,1
653,2,2013-5,19000,2 to 3,1
654,0,2013-6,6000,0 to 1,1
655,2,2013-9,10000,2 to 3,1
656,2,2013-11,24000,2 to 3,1
657,0,2012-1,4000,0 to 1,1
658,2,2013-12,15000,2 to 3,1
659,0,2012-2,4000,0 to 1,1
660,1,2010-11,7500,1 to 2,1
661,1,2014-1,15000,1 to 2,1
662,2,2013-11,15000,2 to 3,1
663,0,2014-2,3500,0 to 1,1
664,0,2012-12,2000,0 to 1,1
665,2,2013-10,15000,2 to 3,1
666,0,2013-9,5000,0 to 1,1
667,1,2013-1,12000,1 to 2,1
668,2,2013-12,10000,2 to 3,1
669,3,2011-9,8000,3 to 4,1
670,1,2011-1,15000,1 to 2,1
671,1,2011-2,7500,1 to 2,1
672,4,2011-12,20000,4+,1
673,2,2013-12,15000,2 to 3,1
674,2,2014-2,22000,2 to 3,1
675,0,2012-10,4000,0 to 1,1
676,0,2012-5,4000,0 to 1,1
677,2,2013-9,15000,2 to 3,1
678,0,2012-12,2000,0 to 1,1
679,3,2014-2,10000,3 to 4,1
680,0,2012-9,2000,0 to 1,1
681,3,2013-7,10000,3 to 4,1
682,0,2012-11,4000,0 to 1,1
683,1,2012-5,2500,1 to 2,1
684,0,2012-5,7500,0 to 1,1
685,3,2013-6,10000,3 to 4,1
686,2,2011-3,13000,2 to 3,1
687,2,2012-12,14500,2 to 3,1
688,2,2013-11,10000,2 to 3,1
689,1,2013-8,6000,1 to 2,1
690,1,2013-8,15000,1 to 2,1
691,1,2013-12,8000,1 to 2,1
692,1,2014-1,5500,1 to 2,1
693,3,2012-12,4000,3 to 4,1
694,2,2011-4,14080,2 to 3,1
695,2,2014-2,13000,2 to 3,1
696,2,2013-5,15000,2 to 3,1
697,0,2013-6,4000,0 to 1,1
698,2,2014-2,15000,2 to 3,1
699,2,2013-11,10000,2 to 3,1
